latitude,longitude,altitude,yaw,timestamp,filename
90.0,90.0,90.0,90.0,2025-05-31T05:21:19.118663,drone_image_20250531_052119.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:19.521725,drone_image_20250531_052119.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:19.924954,drone_image_20250531_052119.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:20.327944,drone_image_20250531_052120.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:20.731921,drone_image_20250531_052120.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:21.135024,drone_image_20250531_052121.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:21.538382,drone_image_20250531_052121.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:21.940977,drone_image_20250531_052121.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:22.344808,drone_image_20250531_052122.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:22.748148,drone_image_20250531_052122.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:23.151074,drone_image_20250531_052123.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:23.554424,drone_image_20250531_052123.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:23.957492,drone_image_20250531_052123.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:24.360615,drone_image_20250531_052124.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:24.763769,drone_image_20250531_052124.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:25.168072,drone_image_20250531_052125.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:25.571657,drone_image_20250531_052125.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:25.976344,drone_image_20250531_052125.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:26.379407,drone_image_20250531_052126.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:26.782650,drone_image_20250531_052126.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:27.186087,drone_image_20250531_052127.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:27.588693,drone_image_20250531_052127.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:27.992551,drone_image_20250531_052127.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:28.396677,drone_image_20250531_052128.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:28.800007,drone_image_20250531_052128.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:29.203023,drone_image_20250531_052129.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:29.606341,drone_image_20250531_052129.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:30.010165,drone_image_20250531_052130.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:30.414252,drone_image_20250531_052130.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:21:30.817275,drone_image_20250531_052130.jpg
