latitude,longitude,altitude,yaw,timestamp,filename
90.0,90.0,90.0,90.0,2025-05-31T05:23:45.857265,drone_image_20250531_052345.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:46.260041,drone_image_20250531_052346.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:46.663377,drone_image_20250531_052346.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:47.067758,drone_image_20250531_052347.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:47.471366,drone_image_20250531_052347.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:47.874345,drone_image_20250531_052347.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:48.277730,drone_image_20250531_052348.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:48.681084,drone_image_20250531_052348.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:49.085095,drone_image_20250531_052349.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:49.488222,drone_image_20250531_052349.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:49.892440,drone_image_20250531_052349.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:50.297125,drone_image_20250531_052350.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:50.700216,drone_image_20250531_052350.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:51.104354,drone_image_20250531_052351.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:51.507714,drone_image_20250531_052351.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:51.911311,drone_image_20250531_052351.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:52.314964,drone_image_20250531_052352.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:52.718957,drone_image_20250531_052352.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:53.122368,drone_image_20250531_052353.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:53.525953,drone_image_20250531_052353.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:53.929429,drone_image_20250531_052353.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:54.333062,drone_image_20250531_052354.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:54.736411,drone_image_20250531_052354.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:55.140506,drone_image_20250531_052355.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:55.543890,drone_image_20250531_052355.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:55.947416,drone_image_20250531_052355.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:56.351002,drone_image_20250531_052356.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:56.755243,drone_image_20250531_052356.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:57.159611,drone_image_20250531_052357.jpg
90.0,90.0,90.0,90.0,2025-05-31T05:23:57.563329,drone_image_20250531_052357.jpg
